S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency ID
1,DR JITENDRA SINGH,Bharatiya Janata Party,566833,4243,571076,51.28,U084
2,CH LAL SINGH,Indian National Congress,444151,2552,446703,40.11,U084
3,GHULAM MOHD SAROORI,Independent,39519,80,39599,3.56,U084
4,MEHRAJ DIN,Independent,9055,27,9082,0.82,U084
5,AMIT KUMAR,Bahujan Samaj Party,8559,83,8642,0.78,U084
6,MOHD ALI GUJJAR,Independent,7139,19,7158,0.64,U084
7,MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778,56,6834,0.61,U084
8,BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243,49,3292,0.3,U084
9,SWARN VEER SINGH JARAL,Independent,3071,17,3088,0.28,U084
10,DR PANKAJ SHARMA,Independent,2201,46,2247,0.2,U084
11,RAJESH MANCHANDA,Independent,1575,30,1605,0.14,U084
12,SACHIN GUPTA,Independent,1457,6,1463,0.13,U084
13,NOTA,None of the Above,12891,47,12938,1.16,U084
1,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,44.89,S2914
2,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,401513,5460,406973,29.04,S2914
3,KYAMA MALLESH,Bharat Rashtra Samithi,254838,1349,256187,18.28,S2914
4,MAHAMD JAHANGIR,Communist Party of India  (Marxist),28412,318,28730,2.05,S2914
5,RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,8130,16,8146,0.58,S2914
6,AITARAJU ABENDER,Bahujan Samaj Party,7703,66,7769,0.55,S2914
7,ASURA BALU,Independent,5747,3,5750,0.41,S2914
8,PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,4718,0,4718,0.34,S2914
9,BUSHIPAKA VENKATAIAH,Independent,4674,1,4675,0.33,S2914
10,POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,4431,2,4433,0.32,S2914
11,NARENDRAA VEMULA,Jai Swaraj Party,4303,1,4304,0.31,S2914
12,KONGARI LINGA SWAMY,Dharma Samaj Party,4029,64,4093,0.29,S2914
13,TARIGOPPULA MAHENDER,Social Justice Party of India,3088,1,3089,0.22,S2914
14,KARINGULA YADAGIRI,Independent,2607,5,2612,0.19,S2914
15,BETHI NARENDER,Independent,2168,0,2168,0.15,S2914
16,M. GANESH,Pyramid Party of India,1996,14,2010,0.14,S2914
17,MALLEBOINA PARAMESH YADAV,Independent,1895,2,1897,0.14,S2914
18,LINGIDI. VENKATESWARLU,Prajavani  Party,1792,0,1792,0.13,S2914
